nohup: ignoring input
/root/LaneNet-Pytorch-teach/LaneNet-PyTorch-master/train.py:35: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  pretrained_weights = torch.load(pretrained_weights_path, map_location=device)
train_set length 12480
valid_set length 2673
test_set length 2673
Loaded pretrained weights.
epoch[88] iter[1000] loss: [0.0321, 0.0479]
epoch[88] iter[1020] loss: [0.0279, 0.0429]
epoch[88] iter[1040] loss: [0.0336, 0.0546]
epoch[88] iter[1060] loss: [0.0401, 0.0670]
epoch[88] iter[1080] loss: [0.0331, 0.0485]
epoch[88] iter[1100] loss: [0.0400, 0.0607]
epoch[88] iter[1120] loss: [0.0304, 0.0489]
epoch[88] iter[1140] loss: [0.0324, 0.0470]
epoch[88] iter[1160] loss: [0.0391, 0.0584]
epoch[88] iter[1180] loss: [0.0340, 0.0627]
epoch[88] iter[1200] loss: [0.0356, 0.0535]
epoch[88] iter[1220] loss: [0.0325, 0.0557]
epoch[88] iter[1240] loss: [0.0398, 0.0602]
epoch[88] iter[1260] loss: [0.0385, 0.0547]
epoch[88] iter[1280] loss: [0.0342, 0.0505]
epoch[88] iter[1300] loss: [0.0365, 0.0547]
epoch[88] iter[1320] loss: [0.0363, 0.0496]
epoch[88] iter[1340] loss: [0.0310, 0.0550]
epoch[88] iter[1360] loss: [0.0364, 0.0565]
epoch[88] iter[1380] loss: [0.0385, 0.0571]
epoch[88] iter[1400] loss: [0.0472, 0.0727]
epoch[88] iter[1420] loss: [0.0370, 0.0484]
epoch[88] iter[1440] loss: [0.0316, 0.0487]
epoch[88] iter[1460] loss: [0.0394, 0.0492]
epoch[88] iter[1480] loss: [0.0402, 0.0509]
epoch[88] iter[1500] loss: [0.0351, 0.0506]
epoch[88] iter[1520] loss: [0.0341, 0.0552]
epoch[88] iter[1540] loss: [0.0344, 0.0473]
Finish epoch[88], time elapsed[181.86s]
epoch[89] iter[0] loss: [0.0370, 0.0521]
epoch[89] iter[20] loss: [0.0334, 0.0483]
epoch[89] iter[40] loss: [0.0325, 0.0490]
epoch[89] iter[60] loss: [0.0373, 0.0794]
epoch[89] iter[80] loss: [0.0360, 0.0559]
epoch[89] iter[100] loss: [0.0374, 0.0688]
epoch[89] iter[120] loss: [0.0339, 0.0576]
epoch[89] iter[140] loss: [0.0400, 0.0664]
epoch[89] iter[160] loss: [0.0400, 0.0634]
epoch[89] iter[180] loss: [0.0328, 0.0493]
epoch[89] iter[200] loss: [0.0413, 0.0584]
epoch[89] iter[220] loss: [0.0349, 0.0594]
epoch[89] iter[240] loss: [0.0414, 0.0561]
epoch[89] iter[260] loss: [0.0367, 0.0484]
epoch[89] iter[280] loss: [0.0338, 0.0465]
